,image_name,width,height,x0,y0,x1,y1
0,00001722.jpg,224,224,82,35,115,74
1,00001044.jpg,224,224,88,19,134,73
2,00001050.jpg,224,224,102,34,136,74
3,00001736.jpg,224,224,52,7,185,162
4,00003121.jpg,224,224,165,32,214,88
5,00003121.jpg,224,224,113,84,157,136
6,00003121.jpg,224,224,12,38,57,90
7,00003121.jpg,224,224,90,50,134,100
8,00003121.jpg,224,224,59,63,109,121
9,00000400.jpg,224,224,55,34,140,135
10,00002571.jpg,224,224,27,49,73,103
11,00002571.jpg,224,224,139,63,180,110
12,00000366.jpg,224,224,42,32,125,130
13,00000366.jpg,224,224,75,0,159,53
14,00002565.jpg,224,224,42,12,170,161
15,00001939.jpg,224,224,71,30,140,110
16,00001087.jpg,224,224,88,8,134,61
17,00001093.jpg,224,224,79,4,106,36
18,00001905.jpg,224,224,50,10,144,122
19,00001911.jpg,224,224,89,90,125,131
20,00001911.jpg,224,224,109,53,161,114
21,00001911.jpg,224,224,65,20,116,79
22,00002997.jpg,224,224,68,93,92,121
23,00002997.jpg,224,224,94,8,122,41
24,00002997.jpg,224,224,144,43,173,76
25,00003451.jpg,224,224,82,29,124,76
26,00001246.jpg,224,224,78,17,134,84
27,00001520.jpg,224,224,139,76,201,148
28,00001520.jpg,224,224,6,59,70,133
29,00001520.jpg,224,224,76,85,138,155
30,00001520.jpg,224,224,99,73,162,145
31,00001520.jpg,224,224,186,65,223,136
32,00002029.jpg,224,224,96,28,134,71
33,00003337.jpg,224,224,77,3,112,44
34,00003337.jpg,224,224,78,98,111,136
35,00003337.jpg,224,224,10,133,36,163
36,00003323.jpg,224,224,93,28,135,76
37,00001252.jpg,224,224,94,24,137,75
38,00002983.jpg,224,224,81,35,103,60
39,00002983.jpg,224,224,58,34,78,56
40,00003445.jpg,224,224,41,14,90,69
41,00002015.jpg,224,224,48,15,172,157
42,00000602.jpg,224,224,63,43,107,94
43,00000602.jpg,224,224,119,84,168,142
44,00000602.jpg,224,224,155,108,198,160
45,00000602.jpg,224,224,8,77,74,153
46,00000602.jpg,224,224,125,34,164,80
47,00000616.jpg,224,224,112,137,158,189
48,00002001.jpg,224,224,84,0,143,65
49,00002767.jpg,224,224,59,13,215,198
50,00000170.jpg,224,224,106,38,131,68
51,00000170.jpg,224,224,129,83,158,116
52,00000170.jpg,224,224,150,20,178,52
53,00000170.jpg,224,224,105,71,132,102
54,00002954.jpg,224,224,42,77,91,134
55,00002954.jpg,224,224,87,10,136,66
56,00002954.jpg,224,224,143,87,187,138
57,00003492.jpg,224,224,95,16,137,65
58,00000825.jpg,224,224,98,13,144,66
59,00000831.jpg,224,224,43,3,191,180
60,00002798.jpg,224,224,23,111,59,152
61,00002798.jpg,224,224,129,96,164,137
62,00002798.jpg,224,224,90,106,123,143
63,00002798.jpg,224,224,58,112,87,146
64,00002798.jpg,224,224,171,108,205,148
65,00002940.jpg,224,224,81,73,101,97
66,00002940.jpg,224,224,121,74,143,100
67,00003486.jpg,224,224,60,34,160,151
68,00000819.jpg,224,224,63,6,140,95
69,00001332.jpg,224,224,88,0,140,60
70,00000992.jpg,224,224,95,57,138,106
71,00003243.jpg,224,224,70,130,96,160
72,00000986.jpg,224,224,116,121,193,212
73,00000986.jpg,224,224,22,86,110,186
74,00001440.jpg,224,224,70,49,133,122
75,00001326.jpg,224,224,46,18,108,92
76,00002607.jpg,224,224,99,25,163,99
77,00002607.jpg,224,224,33,58,100,136
78,00002607.jpg,224,224,131,77,200,157
79,00002607.jpg,224,224,74,95,142,173
80,00002161.jpg,224,224,15,42,38,69
81,00002161.jpg,224,224,91,30,113,55
82,00002161.jpg,224,224,61,86,83,111
83,00001468.jpg,224,224,103,29,219,165
84,00000762.jpg,224,224,134,8,174,54
85,00002613.jpg,224,224,41,54,110,134
86,00002613.jpg,224,224,98,64,164,140
87,00000004.jpg,224,224,106,31,131,60
88,00000789.jpg,224,224,82,21,131,78
89,00000951.jpg,224,224,62,21,102,68
90,00001497.jpg,224,224,46,17,128,114
91,00001483.jpg,224,224,36,1,200,188
92,00002808.jpg,224,224,80,39,150,123
93,00003041.jpg,224,224,87,26,178,135
94,00003041.jpg,224,224,40,62,124,158
95,00000548.jpg,224,224,174,66,223,124
96,00000548.jpg,224,224,34,0,78,50
97,00000548.jpg,224,224,171,10,220,67
98,00000548.jpg,224,224,62,44,117,108
99,00000548.jpg,224,224,118,1,168,56
100,00000548.jpg,224,224,105,59,153,114
101,00000548.jpg,224,224,0,23,57,105
102,00000548.jpg,224,224,87,0,134,45
103,00001656.jpg,224,224,113,8,152,54
104,00001130.jpg,224,224,33,0,114,72
105,00001124.jpg,224,224,36,0,184,123
106,00001642.jpg,224,224,89,65,134,117
107,00003055.jpg,224,224,32,43,90,111
108,00003055.jpg,224,224,118,37,168,97
109,00002405.jpg,224,224,138,17,178,65
110,00000206.jpg,224,224,118,29,179,99
111,00002411.jpg,224,224,125,30,180,94
112,00003069.jpg,224,224,49,100,105,166
113,00003069.jpg,224,224,13,94,60,148
114,00003069.jpg,224,224,90,92,138,146
115,00003069.jpg,224,224,123,98,164,144
116,00003069.jpg,224,224,145,134,184,180
117,00003069.jpg,224,224,158,98,217,169
118,00003069.jpg,224,224,0,114,30,161
119,00003069.jpg,224,224,188,103,222,158
120,00000560.jpg,224,224,114,18,189,103
121,00000560.jpg,224,224,50,54,161,181
122,00000560.jpg,224,224,62,11,121,78
123,00000560.jpg,224,224,0,4,71,111
124,00000560.jpg,224,224,155,13,223,132
125,00001695.jpg,224,224,67,54,146,146
126,00001681.jpg,224,224,89,25,138,83
127,00001859.jpg,224,224,103,27,131,59
128,00001871.jpg,224,224,72,26,156,121
129,00001865.jpg,224,224,71,8,176,130
130,00001864.jpg,224,224,82,20,104,47
131,00001870.jpg,224,224,34,9,143,134
132,00001858.jpg,224,224,124,14,180,78
133,00001680.jpg,224,224,91,22,133,71
